144;Lock & Stock;1998;8.2;511,046;18;1h 47min;Comedy, Crime;8.2;8.3;8.2;7.9
145;El lobo de Wall Street;2013;8.2;1,096,086;16;3h;Biography, Crime, Drama;8.6;8.4;8.1;7.7
146;El tesoro de Sierra Madre;1948;8.2;107,984;NC;2h 6min;Adventure, Drama, Western;8.5;8.2;8.1;8.3
147;¿Vencedores o vencidos?;1961;8.2;64,908;18;2h 59min;Drama, War;7.7;8.3;8.2;8.2
148;Tres anuncios en las afueras;2017;8.2;386,698;16;1h 55min;Comedy, Crime, Drama;8.5;8.3;8.1;8.1
149;Pozos de ambición;2007;8.2;485,350;13;2h 38min;Drama;8.8;8.4;8.1;7.7
150;Chinatown;1974;8.2;277,638;A;2h 10min;Drama, Mystery, Thriller;8.4;8.2;8.1;8.2
151;La quimera del oro;1925;8.2;93,748;T;1h 35min;Adventure, Comedy, Drama;8.3;8.2;8.1;8.2
152;Mi padre y mi hijo;2005;8.3;72,616;NC;1h 48min;Drama, Family;8.0;8.5;8.3;7.3
153;Crimen perfecto;1954;8.2;147,228;T;1h 45min;Crime, Thriller;8.2;8.3;8.2;8.0
154;V de Vendetta;2005;8.2;984,773;12;2h 12min;Action, Drama, Sci-Fi;8.2;8.4;8.1;7.7
155;El séptimo sello;1957;8.2;151,656;13;1h 36min;Drama, Fantasy;8.4;8.2;8.1;8.1
156;Del revés (Inside Out);2015;8.2;570,569;A;1h 35min;Animation, Adventure, Comedy;7.9;8.3;8.1;7.9
157;No es país para viejos;2007;8.1;802,931;18;2h 2min;Crime, Drama, Thriller;8.7;8.3;8.1;8.0
158;Warrior;2011;8.2;417,085;PG-13;2h 20min;Drama, Sport;8.2;8.4;8.1;7.7
159;Trainspotting;1996;8.1;610,233;18;1h 33min;Drama;8.5;8.2;8.1;8.0
160;Shutter Island;2010;8.1;1,058,202;13;2h 18min;Mystery, Thriller;8.6;8.4;8.0;7.5
161;El hombre elefante;1980;8.1;207,996;T;2h 4min;Biography, Drama;8.6;8.3;8.1;8.1
162;El sexto sentido;1999;8.1;874,127;13;1h 47min;Drama, Mystery, Thriller;8.4;8.2;8.1;8.2
163;La habitación;2015;8.1;339,810;12;1h 58min;Drama, Thriller;8.3;8.3;8.0;7.9
164;La cosa (El enigma de otro mundo);1982;8.1;349,032;13;1h 49min;Horror, Mystery, Sci-Fi;8.5;8.1;8.1;8.1
165;Lo que el viento se llevó;1939;8.1;274,522;A;3h 58min;Drama, History, Romance;8.5;8.3;8.1;8.2
166;Jurassic Park (Parque Jurásico);1993;8.1;817,983;12;2h 7min;Action, Adventure, Sci-Fi;8.3;8.1;8.2;7.9
167;Blade Runner;1982;8.1;658,569;13;1h 57min;Action, Sci-Fi, Thriller;8.3;8.0;8.1;8.5
168;El puente sobre el río Kwai;1957;8.1;193,330;T;2h 41min;Adventure, Drama, War;8.1;8.2;8.1;8.2
169;El tercer hombre;1949;8.1;151,026;T;1h 44min;Film-Noir, Mystery, Thriller;8.5;8.1;8.1;8.3
170;Buscando a Nemo;2003;8.1;905,564;T;1h 40min;Animation, Adventure, Comedy;8.2;8.2;8.1;8.1
171;Fresas salvajes;1957;8.2;88,704;NC;1h 31min;Drama, Romance;8.2;8.3;8.1;8.1
172;La ley del silencio;1954;8.1;134,128;NC;1h 48min;Crime, Drama, Thriller;8.1;8.2;8.1;8.2
173;Fargo;1996;8.1;584,764;18;1h 38min;Crime, Drama, Thriller;8.3;8.1;8.1;8.3
174;Kill Bill: Volumen 1;2003;8.1;950,384;18;1h 51min;Action, Crime, Thriller;8.4;8.2;8.1;7.9
175;Gran Torino;2008;8.1;692,076;12;1h 56min;Drama;8.2;8.2;8.1;8.0
176;Stalker;1979;8.2;105,434;NC;2h 42min;Drama, Sci-Fi;8.7;8.4;8.1;7.8
177;El show de Truman (Una vida en directo);1998;8.1;878,680;T;1h 43min;Comedy, Drama, Sci-Fi;8.6;8.3;8.1;7.7
178;El cazador;1978;8.1;295,907;18;3h 3min;Drama, War;8.8;8.2;8.1;8.2
179;Cuentos de Tokio;1953;8.2;47,199;T;2h 16min;Drama;8.0;8.3;8.1;8.2
180;Memories of Murder (Crónica de un asesino en serie);2003;8.1;116,651;18;2h 11min;Action, Crime, Drama;8.3;8.3;8.1;7.7
181;Relatos salvajes;2014;8.1;161,444;16;2h 2min;Comedy, Drama, Thriller;8.2;8.3;8.1;7.9
182;Eskiya;1996;8.3;58,945;NC;2h 8min;Crime, Drama, Thriller;6.9;8.4;8.4;6.9
183;El gran Lebowski;1998;8.1;691,618;12;1h 57min;Comedy, Crime, Sport;8.3;8.0;8.2;8.0
184;Andhadhun;2018;8.3;56,806;NC;2h 19min;Crime, Thriller;8.6;8.5;8.0;6.6
185;Mary and Max;2009;8.1;156,755;NC;1h 32min;Animation, Comedy, Drama;8.5;8.2;8.1;7.9
186;Klaus;2019;8.2;60,947;A/i;1h 36min;Animation, Adventure, Comedy;8.5;8.3;8.1;7.9
187;En el nombre del padre;1993;8.1;147,629;13;2h 13min;Biography, Drama;8.2;8.3;8.1;7.9
188;Perdida;2014;8.1;802,604;16;2h 29min;Drama, Mystery, Thriller;8.4;8.3;8.0;7.7
189;Le Mans '66;2019;8.1;170,701;7;2h 32min;Action, Biography, Drama;8.5;8.2;8.0;8.0
190;Hasta el último hombre;2016;8.1;397,566;16;2h 19min;Biography, Drama, History;8.6;8.3;7.9;8.0
191;El gran hotel Budapest;2014;8.1;665,011;12;1h 39min;Adventure, Comedy, Crime;8.6;8.3;8.0;7.8
192;Caballero sin espada;1939;8.1;101,772;T;2h 9min;Comedy, Drama;8.2;8.2;8.1;8.2
193;El maquinista de La General;1926;8.1;75,495;A;1h 7min;Action, Adventure, Comedy;8.4;8.1;8.1;8.2
194;Cómo entrenar a tu dragón;2010;8.1;635,848;7/i;1h 38min;Animation, Action, Adventure;8.0;8.2;8.1;7.9
195;El moderno Sherlock Holmes;1924;8.2;36,678;T;45min;Action, Comedy, Romance;7.8;8.3;8.1;8.2
196;Antes de amanecer;1995;8.1;250,963;T;1h 41min;Drama, Romance;8.7;8.3;8.0;7.7
197;Persona;1966;8.1;93,114;12;1h 25min;Drama, Thriller;8.5;8.3;8.0;7.8
198;Atrápame si puedes;2002;8.1;766,506;7;2h 21min;Biography, Crime, Drama;8.4;8.3;8.0;7.6
199;Prisioneros;2013;8.1;557,504;16;2h 33min;Crime, Drama, Mystery;8.6;8.3;8.0;7.8
200;12 años de esclavitud;2013;8.1;604,810;16;2h 14min;Biography, Drama, History;8.4;8.3;8.0;7.8
201;La leyenda del indomable;1967;8.1;154,405;7;2h 7min;Crime, Drama;8.0;8.1;8.1;8.2
202;Mad Max: Furia en la carretera;2015;8.1;824,370;16;2h;Action, Adventure, Sci-Fi;8.4;8.3;8.0;7.6
203;Cuenta conmigo;1986;8.1;346,373;A;1h 29min;Adventure, Drama;8.6;8.1;8.1;8.1
204;El salario del miedo;1953;8.1;50,780;NC;2h 11min;Adventure, Drama, Thriller;8.0;8.1;8.1;8.2
205;Network, un mundo implacable;1976;8.1;137,385;18;2h 1min;Drama;8.3;8.2;8.1;8.0
206;Hacia rutas salvajes;2007;8.1;543,728;7;2h 28min;Adventure, Biography, Drama;8.3;8.3;8.1;7.7
207;Barry Lyndon;1975;8.1;139,542;18;3h 5min;Adventure, Drama, History;9.1;8.3;8.0;7.9
208;La vida de Brian;1979;8.1;349,414;13;1h 34min;Comedy;8.4;8.0;8.1;8.2
209;Platoon;1986;8.1;364,679;18;2h;Drama, War;8.1;8.0;8.1;8.1
210;Million Dollar Baby;2004;8.1;607,352;13;2h 12min;Drama, Sport;8.4;8.2;8.0;8.0
